benchmark,category,status,cputime (s),walltime (s),memUsage,status-4,cputime (s)-4,walltime (s)-4,memUsage-4,speedup-4
iftop-1.0pre4/iftop.bc,OSS,OK,45.90507658,45.93440009,32960512,OK,54.91035838,14.44356125,40062976,3.180268307
iproute2-5.0.0/ss.bc,OSS,OK,45.602046,45.72382309,70152192,OK,76.27834422,33.62740193,78241792,1.359719171
openvswitch-2.11.0/ovs-vsctl.bc,OSS,OK,42.81806322,45.28607419,659402752,OK,45.16356035,39.99387903,624578560,1.132325128
dosfstools-4.1/fsck.fat.bc,OSS,OK,44.82752026,44.86329203,39497728,OK,69.82136684,33.7382511,48279552,1.329745632
slimevolley-2.4.2/slimevolley.bc,OSS,OK,44.46171874,44.61561232,40394752,OK,95.38892951,26.72903532,58777600,1.669181539
iodine-0.7.0/iodine.bc,OSS,OK,44.47568963,44.5016084,37904384,OK,65.1041274,27.14059303,48357376,1.639669713
chrony-3.4/chronyc.bc,OSS,OK,44.35896325,44.38928153,56721408,OK,61.70966595,19.95494378,69681152,2.224475399
wpa_supplicant-2.6/eapol_test.bc,OSS,OK,42.36750687,43.37265689,634531840,OK,54.91737124,26.07283911,627240960,1.663518756
uucp-1.07/cu.bc,OSS,OK,43.03704332,43.11551716,63803392,OK,60.70486843,26.18333527,72622080,1.646677809
apache-2.4.39/httpd.bc,OSS,OK,42.41545935,42.71702898,163639296,OK,70.29786662,28.00869757,178610176,1.525134429
xplot-0.90.7.1/xplot.bc,OSS,OK,42.52898992,42.55210532,55443456,OK,59.20246055,18.28882228,63348736,2.326672799
caph-1.1/caph.bc,OSS,OK,40.90520078,40.77882897,29790208,OK,58.93368845,29.60785894,34652160,1.377297462
ncurses-6.1/tic.bc,OSS,OK,40.50029595,40.52626859,42954752,OK,53.53051913,15.30437466,58318848,2.648018589
openssh-8.0p1/scp.bc,OSS,OK,39.91682074,39.97232876,47124480,OK,59.80924615,18.81763066,63479808,2.124195627
nauty-26r11/complg.bc,OSS,OK,39.55371414,39.57799749,56061952,OK,50.31824595,15.68889671,86233088,2.522675637
inetutils-1.9.4/ftpd.bc,OSS,OK,38.61690143,38.64060638,60903424,OK,66.03105691,19.54995138,77848576,1.97650652
fbida-2.14/fbi.bc,OSS,OK,37.63337513,37.86194301,48570368,OK,51.87614589,18.96712273,55218176,1.996188012
xcftools-1.0.7/xcf2png.bc,OSS,OK,37.65927924,37.72080747,37347328,OK,52.33611798,19.29371996,47005696,1.955082149
cpio-2.12/cpio.bc,OSS,OK,37.50516245,37.52894393,54886400,OK,60.89150647,21.56294407,66174976,1.740436919
xcftools-1.0.7/xcf2pnm.bc,OSS,OK,36.90164874,36.97500166,37072896,OK,60.07783467,35.37769596,42381312,1.045150077
peg-0.1.18/leg.bc,OSS,OK,35.62208732,35.64747338,38133760,OK,70.32595788,25.08414091,52113408,1.421115975
pcre2-10.32/pcre2test.bc,OSS,OK,34.70873179,34.73323128,70840320,OK,57.48209901,28.35111972,94146560,1.225109683
ser2net-3.5/ser2net.bc,OSS,OK,34.31880188,34.3946064,55652352,OK,43.41818874,12.49622621,71495680,2.75239947
gnupg-2.2.15/gpg-wks-client.bc,OSS,OK,33.55326701,33.62814223,85676032,OK,47.25046647,15.89475848,103428096,2.115674942
chemtool-1.6.14/chemtool.bc,OSS,OK,32.40121023,32.54785059,206168064,OK,37.57864281,17.64795338,225050624,1.844284711
inetutils-1.9.4/ftp.bc,OSS,OK,32.49088215,32.51319339,51548160,OK,55.03998039,17.75141952,61501440,1.831582728
audit-2.8.4/ausearch.bc,OSS,OK,32.33804769,32.38818183,60891136,OK,38.56475171,10.06935963,97394688,3.216508597
dtc-1.5.0/fdtoverlay.bc,OSS,OK,31.737657,31.81392394,25448448,OK,63.383444,35.43533126,31318016,0.8978023573
lxsession-0.5.4/lxsession.bc,OSS,OK,31.1420544,31.22958201,126951424,OK,33.54391253,24.08428659,127451136,1.296678724
inetutils-1.9.4/rlogin.bc,OSS,OK,30.40987327,30.73647991,33214464,OK,53.93013512,18.05194438,43560960,1.702668658
