benchmark,category,status,cputime (s),walltime (s),memUsage,status-4,cputime (s)-4,walltime (s)-4,memUsage-4,speedup-4,status-6,cputime (s)-6,walltime (s)-6,memUsage-6,speedup-6,status-8,cputime (s)-8,walltime (s)-8,memUsage-8,speedup-8
ldv-linux-4.2-rc1/linux-4.2-rc1.tar.xz-32_7a-drivers--scsi--3w-9xxx.ko-entry_point.cil.out.c,SVC,OK,8.432048923,8.629499234,42835968,OK,12.01906488,4.402661259,46403584,1.960064317,OK,15.0172224,4.682632401,51412992,1.842873515,OK,14.93288215,4.505585471,54009856,1.915289209
brltty-6.0/brltty-ktb.bc,OSS,OK,8.62891887,8.653746207,105832448,OK,10.26630952,7.644117435,109625344,1.132079181,OK,10.27520404,7.713862352,113938432,1.121843483,OK,10.35291956,7.732393228,113790976,1.119154957
visitors-0.7/visitors.bc,OSS,OK,8.650749816,8.680741799,88059904,OK,13.32302115,6.842763141,90378240,1.268601824,OK,13.89550776,6.786491775,92164096,1.279120654,OK,14.5462547,6.653578757,92446720,1.304672585
iproute2-5.0.0/devlink.bc,OSS,OK,8.632112727,8.722189796,52133888,OK,10.95807624,3.44419366,67022848,2.532433033,OK,10.99438078,2.721178909,76574720,3.205298177,OK,11.25240621,2.614775842,81371136,3.335731368
unbound-1.9.1/unbound-control.bc,OSS,OK,8.704927757,8.769248819,284033024,OK,11.33150411,6.440723815,317849600,1.361531572,OK,11.99151991,6.227744472,325988352,1.408093871,OK,13.3514533,6.560570798,322846720,1.336659429
enscript-1.6.6/enscript.bc,OSS,OK,8.749191399,8.77746493,82509824,OK,13.80315683,6.454962838,89391104,1.359801001,OK,13.48333118,6.067345092,93786112,1.4466731,OK,14.28564826,6.134452938,94273536,1.43084722
coreutils-8.31/env.bc,OSS,OK,8.685212612,8.798135295,29421568,OK,14.61112423,4.85179352,47091712,1.813377931,OK,17.74207685,5.310376306,50728960,1.65678189,OK,20.37080914,5.623874981,53252096,1.564425832
wavpack-5.1.0/wavpack.bc,OSS,OK,8.789254109,8.835961807,69050368,OK,13.15334748,6.629833457,75837440,1.332757733,OK,13.23069208,6.771964184,78307328,1.304785667,OK,12.70839946,6.70222721,79536128,1.318362021
wireguard-0.0.20190406/wg.bc,OSS,OK,8.977001317,9.090783346,91422720,OK,20.15317256,7.22855417,96796672,1.257621252,OK,20.18004009,6.884558344,102993920,1.320459918,OK,20.59122229,6.73614638,103170048,1.349552524
coreutils-8.31/chmod.bc,OSS,OK,9.054956705,9.103552984,35684352,OK,18.38537767,6.969352026,48246784,1.306226598,OK,21.45965349,7.268124684,52039680,1.252531207,OK,21.31519496,7.2885258,53641216,1.249025281
brltty-6.0/brltty-trtxt.bc,OSS,OK,9.074588413,9.106875955,48525312,OK,11.65250713,7.571788707,53731328,1.202737729,OK,11.66891884,7.601985675,57925632,1.197960157,OK,11.94133831,7.545417197,59858944,1.206941342
nauty-26r11/delptg.bc,OSS,OK,9.094317527,9.122899489,55857152,OK,17.97645481,8.272190957,63569920,1.102839566,OK,23.38920315,8.413255536,67510272,1.084348318,OK,21.4359661,8.475541546,68087808,1.076379537
hexedit-1.4.2/hexedit.bc,OSS,OK,9.115573275,9.157894516,29585408,OK,11.07324398,3.089151781,38289408,2.964533686,OK,11.94837076,2.430916225,42991616,3.767260435,OK,12.36496563,2.007935085,46579712,4.560851884
coreutils-8.31/chgrp.bc,OSS,OK,9.22728415,9.252070961,36651008,OK,12.64146678,4.951633768,52051968,1.868488542,OK,16.89467514,5.693065056,60112896,1.625147591,OK,19.14997766,5.485129892,66105344,1.686755126
fvwm-2.6.8/FvwmBanner.bc,OSS,OK,9.178379753,9.264002005,62865408,OK,9.493615027,8.657891203,67350528,1.070006747,OK,9.742952885,8.728068102,70836224,1.061403497,OK,9.830736077,8.798113348,70615040,1.052953246
ldv-linux-3.14/linux-3.14_linux-usb-dev_drivers-net-irda-via-ircc.cil.c,SVC,OK,9.312251192,9.342661222,43499520,OK,11.51978504,9.534351871,42971136,0.9798947373,OK,11.52908802,9.44850757,43511808,0.9887975591,OK,11.50653943,9.281370556,42975232,1.006603622
coreutils-8.31/chcon.bc,OSS,OK,9.28985037,9.365047295,36429824,OK,12.76211632,4.701241899,51466240,1.992036891,OK,18.15600256,5.641877965,57782272,1.659916672,OK,18.82987884,5.326708312,61444096,1.758130302
bogofilter-1.2.4/bogofilter.bc,OSS,OK,9.349193006,9.444838753,64253952,OK,14.33651532,9.152871235,68542464,1.031899009,OK,13.67639341,9.05628878,70922240,1.042903885,OK,13.85274584,9.113158883,70938624,1.036395708
vnstat-2.1/vnstat.bc,OSS,OK,9.428311296,9.451882598,60026880,OK,13.97107954,4.535952536,73588736,2.083770172,OK,13.18317455,4.104267557,80736256,2.302940163,OK,13.11595374,3.790376244,85536768,2.49365287
enscript-1.6.6/mkafmmap.bc,OSS,OK,9.37109407,9.453132072,48619520,OK,15.66260727,5.808337495,53039104,1.627510812,OK,14.83301524,5.031804443,56201216,1.878676363,OK,16.12662156,5.04628981,56893440,1.873283626
tor-0.3.5.8/tor-print-ed-signing-cert.bc,OSS,OK,9.442675018,9.465439671,162885632,OK,10.35263254,9.450240458,162086912,1.001608341,OK,10.35299102,9.432384988,166350848,1.003504382,OK,10.51824766,9.559375255,164970496,0.9901734599
musepack-0.1+r475/mpc2sv8.bc,OSS,OK,9.501705636,9.523777065,28442624,OK,15.25944706,8.429361829,32608256,1.1298337,OK,11.7349192,8.514918433,33841152,1.118481303,OK,13.75239934,8.590238762,35938304,1.108674314
shairplay-20180824.096b61a/shairplay.bc,OSS,OK,9.475128044,9.568140203,79675392,OK,9.654402289,9.57696388,79728640,0.9990786561,OK,9.458551578,9.404393359,82284544,1.017411739,OK,9.602182068,9.533219248,80998400,1.003663081
ldv-linux-4.2-rc1/linux-4.2-rc1.tar.xz-43_2a-drivers--staging--wlan-ng--prism2_usb.ko-entry_point.cil.out.c,SVC,OK,9.523834686,9.607202665,58818560,OK,12.52601579,4.262278542,64929792,2.254006295,OK,12.62149638,3.456521956,69013504,2.779442106,OK,12.91488159,3.298951703,71651328,2.912198641
ldv-linux-3.14/linux-3.14_linux-alloc-spinlock_drivers-net-irda-via-ircc.cil.c,SVC,OK,9.429231005,9.629070476,44146688,OK,11.38788798,9.689193784,43888640,0.993794808,OK,11.33655403,9.347328204,44285952,1.030141476,OK,11.26122742,9.265095576,43900928,1.039284527
fvwm-2.6.8/FvwmBacker.bc,OSS,OK,9.519833634,9.645436799,57360384,OK,12.64787291,4.052235663,85229568,2.380275384,OK,11.97346188,3.114829491,98504704,3.096617913,OK,12.44550883,2.688923806,108552192,3.587099336
ldv-linux-3.14/linux-3.14_linux-kernel-locking-spinlock_drivers-net-irda-via-ircc.cil.c,SVC,OK,9.432121841,9.656036916,44281856,OK,10.97113327,9.425133321,43753472,1.024498709,OK,11.47544336,12.9031361,100626432,0.7483480636,OK,11.35291608,9.256126153,43892736,1.043204982
coreutils-8.31/chown.bc,OSS,OK,9.691008107,9.735904389,37175296,OK,13.80332056,5.482422987,52277248,1.775839699,OK,17.55243831,5.692066394,61808640,1.710434088,OK,19.17099674,5.582041384,65593344,1.744147655
ldv-linux-4.2-rc1/linux-4.2-rc1.tar.xz-32_7a-drivers--hwmon--w83781d.ko-entry_point.cil.out.c,SVC,OK,9.609540721,9.752801571,52535296,OK,14.83037708,4.241100608,58556416,2.299592128,OK,13.79530998,2.934989994,62369792,3.322942017,OK,14.01802021,2.389355942,64352256,4.08177007
ldv-linux-4.0-rc1-mav/linux-4.0-rc1---drivers--hid--hid-wiimote.ko.cil.c,SVC,OK,9.72818579,9.793059656,59613184,OK,14.30438879,4.287615282,59789312,2.284034134,OK,14.2317119,3.349921922,68218880,2.923369524,OK,15.75135363,2.933934915,70664192,3.337858521
coreutils-8.31/shred.bc,OSS,OK,9.70909099,9.809983098,30859264,OK,21.60568529,7.212225391,43139072,1.360188093,OK,21.33510282,7.316194938,45203456,1.340858627,OK,21.87545849,7.363290235,48021504,1.332282551
pixiewps-1.4.2/pixiewps.bc,OSS,OK,9.757808958,9.810930443,40177664,OK,12.99157626,5.391801778,44490752,1.81960147,OK,13.39326908,5.41021314,47169536,1.81340923,OK,12.40668446,5.28536073,48234496,1.856246138
ldv-challenges/linux-3.14_linux-alloc-spinlock_drivers-net-ethernet-intel-ixgb-ixgb.cil.c,SVC,OK,9.812519648,9.831208174,50978816,OK,14.82175192,7.730021177,50409472,1.271821635,OK,14.8565983,7.729867964,51724288,1.271846844,OK,15.79142894,7.533826742,53567488,1.304942164
ldv-linux-4.2-rc1/linux-4.2-rc1.tar.xz-43_2a-drivers--scsi--advansys.ko-entry_point.cil.out.c,SVC,OK,9.840245925,9.870999582,50307072,OK,12.17414696,6.419667663,50376704,1.537618472,OK,12.03809402,6.115172007,55779328,1.614181837,OK,12.18538665,6.089384624,59895808,1.621017589
mutt-1.11.4/mutt_pgpring.bc,OSS,OK,9.8879911,9.917635953,31686656,OK,11.03032104,5.777842445,36507648,1.716494703,OK,11.40837883,5.829474574,39264256,1.70129157,OK,10.34899431,5.930801875,39112704,1.672225133
ldv-linux-4.2-rc1/linux-4.2-rc1.tar.xz-43_2a-drivers--usb--host--r8a66597-hcd.ko-entry_point.cil.out.c,SVC,OK,9.925760217,9.962385539,42688512,OK,13.7389108,4.86215549,42057728,2.048964818,OK,14.08894778,7.845310761,98918400,1.269852252,OK,14.60167823,4.318723865,42860544,2.306789193
ldv-linux-4.2-rc1/linux-4.2-rc1.tar.xz-32_7a-drivers--usb--host--r8a66597-hcd.ko-entry_point.cil.out.c,SVC,OK,9.953262153,9.982526867,42692608,OK,13.23308633,4.733766508,42274816,2.108791562,OK,14.04469177,4.439258681,42831872,2.248692312,OK,14.56635073,4.290468748,43474944,2.326675115
cuetools-1.4.1/cueconvert.bc,OSS,OK,9.992224233,10.0205795,37072896,OK,14.76790342,4.333382341,59211776,2.312415271,OK,13.68436658,2.511282754,71528448,3.990223517,OK,22.89924975,3.585713522,75194368,2.79458452
coreutils-8.31/touch.bc,OSS,OK,9.922822088,10.11329764,48500736,OK,15.83990104,5.595776494,77914112,1.807309076,OK,16.94236905,5.311007004,92311552,1.904214706,OK,17.48080928,4.984346254,97792000,2.029011856
hwinfo-21.60/check_hd.bc,OSS,OK,10.22807347,10.26078987,28925952,OK,17.44664585,8.288491052,33890304,1.237956319,OK,18.11819028,8.403071312,36159488,1.221076138,OK,18.24438648,8.374469251,36954112,1.225246587
darkhttpd-1.12/darkhttpd.bc,OSS,OK,10.31859581,10.34391908,33677312,OK,12.83859539,3.943546993,48328704,2.622998812,OK,13.36051619,3.315170394,50761728,3.1201772,OK,15.25241911,3.227895857,53280768,3.204539283
nettle-3.4.1/sexp-conv.bc,OSS,OK,10.32511326,10.37613806,25284608,OK,14.68552254,5.526402487,30867456,1.877557432,OK,16.06467172,5.620837224,33562624,1.846012907,OK,17.27601646,5.471307042,35946496,1.896464224
distcc-3.3.2/distcc.bc,OSS,OK,10.37083768,10.45689485,60309504,OK,13.95329514,4.643279468,73080832,2.252049423,OK,14.58895882,3.946861939,80842752,2.649419972,OK,14.01976164,3.02531203,83607552,3.456468207
coreutils-8.31/df.bc,OSS,OK,10.49176986,10.5149383,38547456,OK,20.6210086,8.10441439,54517760,1.297433447,OK,20.2541836,8.390819435,63930368,1.253147964,OK,21.07209249,8.434608776,66445312,1.246642088
dropbear-2019.78/dropbearconvert.bc,OSS,OK,10.42005776,10.54794506,60379136,OK,12.86584651,7.603420797,65433600,1.387263094,OK,12.72805697,7.662869438,68993024,1.376500689,OK,12.90770646,7.498689715,70164480,1.406638421
ldv-linux-4.2-rc1/linux-4.2-rc1.tar.xz-43_2a-drivers--media--pci--ttpci--dvb-ttpci.ko-entry_point.cil.out.c,SVC,OK,10.50582665,10.55014842,56995840,OK,12.56037102,3.699302493,62185472,2.851929098,OK,15.15902817,3.459774045,70029312,3.049374984,OK,16.29468414,3.20140841,73060352,3.295470953
ldv-challenges/linux-3.14_complex_emg_linux-usb-dev_drivers-net-ethernet-intel-ixgb-ixgb.cil.c,SVC,OK,10.52805829,10.55811345,50343936,OK,12.81500459,5.046788753,49664000,2.092045847,OK,14.28350707,4.504624939,51933184,2.34383852,OK,14.69424378,4.556351501,54886400,2.317229794
ldv-challenges/linux-3.14_complex_emg_linux-alloc-spinlock_drivers-net-ethernet-intel-ixgb-ixgb.cil.c,SVC,OK,10.54609193,10.56992093,51064832,OK,12.55895754,5.112844589,50573312,2.067326855,OK,14.8400635,4.717030467,53993472,2.2407998,OK,14.7762445,4.60877188,56451072,2.293435475
uget-2.2.1/uget-gtk.bc,OSS,OK,10.52963289,10.64996407,110632960,OK,12.52521921,5.033384347,114434048,2.115865456,OK,13.82393663,4.839738322,120856576,2.200524772,OK,14.89180148,4.835724736,121610240,2.202351178
ldv-linux-4.2-rc1/linux-4.2-rc1.tar.xz-32_7a-drivers--media--pci--ttpci--dvb-ttpci.ko-entry_point.cil.out.c,SVC,OK,10.55171027,10.67785144,59453440,OK,13.43394045,3.999393732,63356928,2.669867524,OK,14.94004839,3.500341498,70983680,3.050517055,OK,16.48125235,3.231300676,74477568,3.30450568
hdparm-9.58/hdparm.bc,OSS,OK,10.88804866,10.95734312,72130560,OK,15.08884466,7.407259886,86732800,1.479270782,OK,14.89714262,7.537139408,90992640,1.453780079,OK,15.05409492,7.236632429,93974528,1.514149465
ipset-7.1/ipset.bc,OSS,OK,10.98722771,11.09373841,68739072,OK,13.23305528,4.92275787,88227840,2.253561662,OK,15.71272621,4.862005044,96555008,2.281720876,OK,16.27867017,4.147752523,110407680,2.674638457
dmtcp-2.5.2/mtcp_restart.bc,OSS,OK,11.08733369,11.10667713,32665600,OK,16.7594781,6.374273161,40009728,1.742422524,OK,15.86183818,5.509669118,44421120,2.015851931,OK,17.10385206,5.632967491,45809664,1.97172754
uucp-1.07/uuxqt.bc,OSS,OK,11.21615422,11.3017702,50900992,OK,17.90643882,10.61006331,58232832,1.065193475,OK,18.31380019,10.84942658,62558208,1.04169286,OK,18.719816,10.91158946,63848448,1.035758378
ldv-linux-3.14/linux-3.14_complex_emg_linux-kernel-locking-spinlock_drivers-media-usb-dvb-usb-v2-dvb-usb-mxl111sf.cil.c,SVC,OK,11.18699174,11.32876755,48353280,OK,15.51742003,4.838269459,53125120,2.341491652,OK,18.3718217,4.658158126,60399616,2.432027261,OK,20.96997224,4.925185865,67354624,2.300170564
ldv-linux-3.14/linux-3.14_complex_emg_linux-usb-dev_drivers-media-usb-dvb-usb-v2-dvb-usb-mxl111sf.cil.c,SVC,OK,11.37259074,11.40768509,47824896,OK,17.42822037,5.248934638,54571008,2.173333425,OK,19.35118512,5.094097908,59592704,2.239392587,OK,21.61517626,5.085501734,67588096,2.243177899
cronie-1.5.4/cronnext.bc,OSS,OK,11.36025732,11.411876,34254848,OK,18.92854626,12.265081,39845888,0.9304362519,OK,19.09849354,12.25104715,43257856,0.9315020873,OK,19.05344564,12.16532577,43986944,0.9380657956
ldv-linux-3.14/linux-3.14_complex_emg_linux-drivers-clk1_drivers-media-usb-dvb-usb-v2-dvb-usb-mxl111sf.cil.c,SVC,OK,11.27863484,11.43953321,47566848,OK,16.18135702,4.992441147,51171328,2.291370668,OK,19.39394863,5.127028239,61816832,2.231221026,OK,20.55475978,4.675822014,65339392,2.446528797
ldv-challenges/linux-3.14_complex_emg_linux-kernel-locking-mutex_drivers-media-usb-dvb-usb-v2-dvb-usb-mxl111sf.cil.c,SVC,OK,11.38403632,11.45667994,48234496,OK,15.92500177,4.897022991,53334016,2.339519329,OK,18.73726244,4.890988522,60252160,2.342405812,OK,21.64084737,5.2107874,67956736,2.198646589
ldv-linux-4.2-rc1/linux-4.2-rc1.tar.xz-32_7a-drivers--staging--lustre--lustre--mdc--mdc.ko-entry_point.cil.out.c,SVC,OK,11.43591796,11.46552611,61534208,OK,14.43833201,4.260808923,71176192,2.690927079,OK,15.61046589,3.733101107,76574720,3.071314111,OK,16.61998409,3.657752685,79708160,3.134582104
msmtp-1.8.3/msmtp.bc,OSS,OK,11.51757347,11.54066125,58880000,OK,17.12656231,9.28676921,63930368,1.242699262,OK,17.55214517,9.415282232,67796992,1.225737154,OK,18.40819469,9.236878165,69427200,1.24941144
